bloco	parcela	n	p	k	ms_folha	ms_lenho	ms_casca	ms_galho	altura	dap	volume	p_resina	mo_solo	p_h_solo	k_solo	ca_solo	mg_solo	h_al_solo	al_solo	sb	ctc	v	ca_ctc	mg_ctc	m	compartimento	n_2	p_2	k_2	ca	mg	s	b	cu	fe	mn	zn	Dose_N	Dose_P	Dose_K
C	4	0	1	1	1415.25572111111	5828.72749608063	500.558659014558	1098.81521985816	6.65	0.0732112738222719	37.3254229290562	8	17	4	0.7	3	1	22	3	4.7	26.7	18	11	4	39	FOLHA	28630.6232380778	2303.17402649329	13232.6409923889	8526.91571969444	2795.13004919444	1814.36196986569	32873.7625885342	8491.53432666667	176906.965138889	1306281.03058556	25474.60298	105	70	180
C	4	0	1	1	1415.25572111111	5828.72749608063	500.558659014558	1098.81521985816	6.65	0.0732112738222719	37.3254229290562	8	17	4	0.7	3	1	22	3	4.7	26.7	18	11	4	39	LENHO	11832.3168170437	720.801923281944	27977.891981187	2477.20918583427	1748.61824882419	804.954876517268	47006.9116660905	23314.9099843225	238977.827339306	617845.114584546	139889.459905935	105	70	180
C	4	0	1	1	1415.25572111111	5828.72749608063	500.558659014558	1098.81521985816	6.65	0.0732112738222719	37.3254229290562	8	17	4	0.7	3	1	22	3	4.7	26.7	18	11	4	39	GALHO	5691.86283886525	1314.52031940053	8186.17338794326	6840.12474361702	1593.28206879433	335.362263941849	15342.9365655939	3296.44565957447	36260.9022553192	623028.229659574	13185.7826382979	105	70	180
C	4	0	1	1	1415.25572111111	5828.72749608063	500.558659014558	1098.81521985816	6.65	0.0732112738222719	37.3254229290562	8	17	4	0.7	3	1	22	3	4.7	26.7	18	11	4	39	CASCA	2522.81564143337	734.360142440691	4467.48603170493	6382.12290243561	1651.84357474804	181.541379328116	11627.0482235964	3503.9106131019	9010.05586226204	511070.390853863	5005.58659014558	105	70	180
C	5	1	1	1	1575.56424289773	11029.0046854839	1111.28754435484	1237.49690625	7.2	0.0633436673505743	30.2528343407979	100	13	3.9	0.6	5	1	25	4	6.6	31.6	21	16	3	38	FOLHA	29667.8746937642	2065.37946375129	14022.5217617898	11737.9536095881	4293.41256189631	1864.8133317331	46472.4038750154	12604.5139431818	264694.792806818	1700033.81808665	22057.8994005682	140	0	180
C	5	1	1	1	1575.56424289773	11029.0046854839	1111.28754435484	1237.49690625	7.2	0.0633436673505743	30.2528343407979	100	13	3.9	0.6	5	1	25	4	6.6	31.6	21	16	3	38	LENHO	25477.0008234677	1014.88794178556	38050.0661649193	9926.10421693548	7444.57816270161	3999.97220537696	94701.0026820812	55145.0234274193	1036726.44043548	1499944.63722581	352928.149935484	140	0	180
C	5	1	1	1	1575.56424289773	11029.0046854839	1111.28754435484	1237.49690625	7.2	0.0633436673505743	30.2528343407979	100	13	3.9	0.6	5	1	25	4	6.6	31.6	21	16	3	38	GALHO	8315.97921	1527.39273654172	10611.5359710938	9899.97525	1020.93494765625	594.568016555081	15919.2488216197	4949.987625	48262.37934375	985047.537375	12374.9690625	140	0	180
C	5	1	1	1	1575.56424289773	11029.0046854839	1111.28754435484	1237.49690625	7.2	0.0633436673505743	30.2528343407979	100	13	3.9	0.6	5	1	25	4	6.6	31.6	21	16	3	38	CASCA	4434.03730197581	882.05639815828	10807.2713688508	22336.8796415323	2944.91199254032	578.531022576101	21837.6244963053	6667.72526612903	42228.9266854839	1632481.40265726	11112.8754435484	140	0	180
C	5	1	0	1	2651.87130457746	6348.73064623955	759.886679665738	1908.15849489796	7.05	0.0555450751390715	22.777570504131	2	12	3.8	0.7	2	1	22	4	3.7	25.7	14	8	4	52	FOLHA	43808.9139516197	2293.78951461522	22739.7964367518	16773.0860014525	4309.29086993838	2760.16103175755	74808.8937061822	13259.3565228873	495899.933955986	3121252.52548768	29170.5843503521	140	0	180
C	5	1	0	1	2651.87130457746	6348.73064623955	759.886679665738	1908.15849489796	7.05	0.0555450751390715	22.777570504131	2	12	3.8	0.7	2	1	22	4	3.7	25.7	14	8	4	52	LENHO	13332.3343571031	0	11586.4334293872	1111.02786309192	317.436532311978	876.767990409834	47905.0035631292	19046.1919387187	298390.340373259	660267.987208914	82533.4984011142	140	0	180
